GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,editor,reviewer,NatureServe_element_code,TSN_code,Global_SEQ_ID,input_data,IPDS,abstract,doi,ScienceBase_url
aAZTRx,Arizona Treefrog,Hyla wrightorum,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arizona Treefrog (Hyla wrightorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F78G8HZQ.",United States,"Hyla wrightorum, Arizona Treefrog",Ken Boykin,Jeff Lonneker,AAABC02080,207283,103108,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Arizona Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F78G8HZQ,https://www.sciencebase.gov/catalog/item/58fa3f1be4b0b7ea5452486d
aBAFRx,Barking Frog,Craugastor augusti,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barking Frog (Craugastor augusti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F74Q7S8V.",United States,"Craugastor augusti, Barking Frog",Ken Boykin,Steve Williams,AAABD04170,773869,102193,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Barking Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F74Q7S8V,https://www.sciencebase.gov/catalog/item/58fa3f1ee4b0b7ea54524870
aBATRx,Barking Treefrog,Hyla gratiosa,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barking Treefrog (Hyla gratiosa) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7125QWV.",United States,"Hyla gratiosa, Barking Treefrog",Ken Boykin,Jeff Lonneker,AAABC02100,173508,106453,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Barking Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7125QWV,https://www.sciencebase.gov/catalog/item/58fa3f21e4b0b7ea54524873
aBBSSx,Black-bellied Slender Salamander,Batrachoseps nigriventris,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-bellied Slender Salamander (Batrachoseps nigriventris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7W957FD.",United States,"Batrachoseps nigriventris, Black-bellied Slender Salamander",Ken Boykin,Jeff Lonneker,AAAAD02050,173708,104368,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Black-bellied Slender Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7W957FD,https://www.sciencebase.gov/catalog/item/58fa3f23e4b0b7ea54524876
aBCSAx,Berry Cave Salamander,Gyrinophilus gulolineatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Berry Cave Salamander (Gyrinophilus gulolineatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7RJ4GR4.",United States,"Gyrinophilus gulolineatus, Berry Cave Salamander",Matt Rubino,Steve Williams,AAAAD06040,550249,104271,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Berry Cave Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7RJ4GR4,https://www.sciencebase.gov/catalog/item/58fa3f27e4b0b7ea54524879
aBCTRx,Baja California Treefrog,Pseudacris hypochondriaca,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Baja California Treefrog (Pseudacris hypochondriaca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7MS3R1T.",United States,"Pseudacris hypochondriaca, Baja California Treefrog",Ken Boykin,Jeff Lonneker,AAABC05180,774546,857735,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Baja California Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7MS3R1T,https://www.sciencebase.gov/catalog/item/58fa3f2ae4b0b7ea5452487c
aBESAx,Black-bellied Salamander,Desmognathus quadramaculatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-bellied Salamander (Desmognathus quadramaculatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7H1308B.",United States,"Desmognathus quadramaculatus, Black-bellied Salamander",Matt Rubino,Steve Williams,AAAAD03080,173642,105247,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Black-bellied Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7H1308B,https://www.sciencebase.gov/catalog/item/58fa3f2de4b0b7ea5452487f
aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Gray-cheeked Salamander (Plethodon amplus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7C827JM.",United States,"Plethodon amplus, Blue Ridge Gray-cheeked Salamander",Matt Rubino,Jeff Lonneker,AAAAD12450,668316,100600,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Gray-cheeked Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7C827JM,https://www.sciencebase.gov/catalog/item/58fa3f30e4b0b7ea54524882
aBGSAx,Big Levels Salamander,Plethodon sherando,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Big Levels Salamander (Plethodon sherando) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F77H1GVB.",United States,"Plethodon sherando, Big Levels Salamander",Matt Rubino,Steve Williams,AAAAD12550,775911,757080,['undocumented'],IP-082267,"This dataset represents a species habitat distribution model for Big Levels Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F77H1GVB,https://www.sciencebase.gov/catalog/item/58fa3f33e4b0b7ea54524886
aBLASx,Black Salamander,Aneides flavipunctatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Salamander (Aneides flavipunctatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F73T9FGW.",United States,"Aneides flavipunctatus, Black Salamander",Ken Boykin,Jeff Lonneker,AAAAD01030,173701,101525,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Black Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F73T9FGW,https://www.sciencebase.gov/catalog/item/58fa3f35e4b0b7ea54524889
aBLSAx,Blanco Blind Salamander,Eurycea robusta,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blanco Blind Salamander (Eurycea robusta) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7028PTC.",United States,"Eurycea robusta, Blanco Blind Salamander",Ken Boykin,Steve Williams,AAAAD05260,586344,104377,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blanco Blind Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7028PTC,https://www.sciencebase.gov/catalog/item/58fa3f38e4b0b7ea5452488c
aBLTOx,Black Toad,Anaxyrus exsul,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Toad (Anaxyrus exsul) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7V986BG.",United States,"Anaxyrus exsul, Black Toad",Ken Boykin,Jeff Lonneker,AAABB01070,773519,101917,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Black Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7V986BG,https://www.sciencebase.gov/catalog/item/58fa3f3be4b0b7ea54524890
aBMSAx,Black Mountain Salamander,Desmognathus welteri,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Mountain Salamander (Desmognathus welteri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7QJ7FK9.",United States,"Desmognathus welteri, Black Mountain Salamander",Matt Rubino,Jeff Lonneker,AAAAD03090,173644,102488,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Black Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7QJ7FK9,https://www.sciencebase.gov/catalog/item/58fa3f3ee4b0b7ea54524893
aBOFRx,Boreal Chorus Frog,Pseudacris maculata,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Boreal Chorus Frog (Pseudacris maculata) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7KS6PT4.",United States,"Pseudacris maculata, Boreal Chorus Frog",Ken Boykin,Jeff Lonneker,AAABC05130,207312,806592,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Boreal Chorus Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7KS6PT4,https://www.sciencebase.gov/catalog/item/58fa3f40e4b0b7ea54524896
aBOTOx,Western Toad,Anaxyrus boreas,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Western Toad (Anaxyrus boreas) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7G15Z34.",United States,"Anaxyrus boreas, Western Toad",Thomas Laxson,Jeff Lonneker,AAABB01030,773513,102714,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Western Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7G15Z34,https://www.sciencebase.gov/catalog/item/58fa3f44e4b0b7ea54524899
aBRDSx,Blue Ridge Dusky Salamander,Desmognathus orestes,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Dusky Salamander (Desmognathus orestes) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7B856D7.",United States,"Desmognathus orestes, Blue Ridge Dusky Salamander",Matt Rubino,Jeff Lonneker,AAAAD03150,550245,106222,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7B856D7,https://www.sciencebase.gov/catalog/item/58fa3f48e4b0b7ea5452489d
aBRFRx,Brimley's Chorus Frog,Pseudacris brimleyi,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Brimley's Chorus Frog (Pseudacris brimleyi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F76M3537.",United States,"Pseudacris brimleyi, Brimley's Chorus Frog",Matt Rubino,Jeff Lonneker,AAABC05020,173524,102619,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Brimley's Chorus Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F76M3537,https://www.sciencebase.gov/catalog/item/58fa3f4be4b0b7ea545248a0
aBRTSx,Blue Ridge Two-lined Salamander,Eurycea wilderae,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Two-lined Salamander (Eurycea wilderae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F72V2DDZ.",United States,"Eurycea wilderae, Blue Ridge Two-lined Salamander",Matt Rubino,Jeff Lonneker,AAAAD05150,550248,106042,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Two-lined Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F72V2DDZ,https://www.sciencebase.gov/catalog/item/58fa3f4ee4b0b7ea545248a3
aBSNEx,Black-spotted Newt,Notophthalmus meridionalis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-spotted Newt (Notophthalmus meridionalis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7Z31WXK.",United States,"Notophthalmus meridionalis, Black-spotted Newt",Matt Rubino,Steve Williams,AAAAF01010,173617,101904,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black-spotted Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7Z31WXK,https://www.sciencebase.gov/catalog/item/58fa3f51e4b0b7ea545248a6
aBSPSx,Barton Springs Salamander,Eurycea sosorum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barton Springs Salamander (Eurycea sosorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7TB1556.",United States,"Eurycea sosorum, Barton Springs Salamander",Ken Boykin,Steve Williams,AAAAD05170,550247,104730,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Barton Springs Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7TB1556,https://www.sciencebase.gov/catalog/item/58fa3f54e4b0b7ea545248a9
aBTISx,Barred Tiger Salamander,Ambystoma mavortium,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barred Tiger Salamander (Ambystoma mavortium) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7PK0DD1.",United States,"Ambystoma mavortium, Barred Tiger Salamander",Matt Rubino,Steve Williams,AAAAA01142,668193,100277,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Barred Tiger Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7PK0DD1,https://www.sciencebase.gov/catalog/item/58fa3f57e4b0b7ea545248ac
aBUPSx,Blue-spotted Salamander,Ambystoma laterale,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue-spotted Salamander (Ambystoma laterale) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7JS9NPR.",United States,"Ambystoma laterale, Blue-spotted Salamander",Matt Rubino,Steve Williams,AAAAA01060,173599,102149,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blue-spotted Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7JS9NPR,https://www.sciencebase.gov/catalog/item/58fa3f5ae4b0b7ea545248b0
aBUTOx,Burrowing Toad,Rhinophrynus dorsalis,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Burrowing Toad (Rhinophrynus dorsalis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7F18X06.",United States,"Rhinophrynus dorsalis, Burrowing Toad",Ken Boykin,Jeff Lonneker,AAABJ01010,173552,103961,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Burrowing Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7F18X06,https://www.sciencebase.gov/catalog/item/58fa3f5de4b0b7ea545248b3
aBVTRx,Bird-voiced Treefrog,Hyla avivoca,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Bird-voiced Treefrog (Hyla avivoca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F79C6VPS.",United States,"Hyla avivoca, Bird-voiced Treefrog",Ken Boykin,Jeff Lonneker,AAABC02030,173511,106363,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Bird-voiced Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F79C6VPS,https://www.sciencebase.gov/catalog/item/58fa3f60e4b0b7ea545248b6
