GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,modeler,NatureServe_element_code,TSN_code,EGT_ID,input_data,IPDS,abstract
aBOTOx,Western Toad,Anaxyrus boreas,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Western Toad (Anaxyrus boreas) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus boreas, Western Toad",Thomas Laxon,AAABB01030,773513,102714,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Western Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBRDSx,Blue Ridge Dusky Salamander,Desmognathus orestes,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Dusky Salamander (Desmognathus orestes) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus orestes, Blue Ridge Dusky Salamander",,AAAAD03150,550245,106222,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBRFRx,Brimley's Chorus Frog,Pseudacris brimleyi,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Brimley's Chorus Frog (Pseudacris brimleyi) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudacris brimleyi, Brimley's Chorus Frog",,AAABC05020,173524,102619,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Brimley's Chorus Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBRTSx,Blue Ridge Two-lined Salamander,Eurycea wilderae,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Two-lined Salamander (Eurycea wilderae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea wilderae, Blue Ridge Two-lined Salamander",,AAAAD05150,550248,106042,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Two-lined Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBSNEx,Black-spotted Newt,Notophthalmus meridionalis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-spotted Newt (Notophthalmus meridionalis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Notophthalmus meridionalis, Black-spotted Newt",Matthew Rubino,AAAAF01010,173617,101904,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black-spotted Newt.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBSPSx,Barton Springs Salamander,Eurycea sosorum,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barton Springs Salamander (Eurycea sosorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea sosorum, Barton Springs Salamander",Ken Boykin,AAAAD05170,550247,104730,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Barton Springs Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBTISx,Barred Tiger Salamander,Ambystoma mavortium,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barred Tiger Salamander (Ambystoma mavortium) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Ambystoma mavortium, Barred Tiger Salamander",Matthew Rubino,AAAAA01142,668193,100277,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Barred Tiger Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBUPSx,Blue-spotted Salamander,Ambystoma laterale,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue-spotted Salamander (Ambystoma laterale) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Ambystoma laterale, Blue-spotted Salamander",Matthew Rubino,AAAAA01060,173599,102149,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Blue-spotted Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBUTOx,Burrowing Toad,Rhinophrynus dorsalis,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Burrowing Toad (Rhinophrynus dorsalis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Rhinophrynus dorsalis, Burrowing Toad",Ken Boykin,AAABJ01010,173552,103961,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Burrowing Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBVTRx,Bird-voiced Treefrog,Hyla avivoca,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Bird-voiced Treefrog (Hyla avivoca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hyla avivoca, Bird-voiced Treefrog",Ken Boykin,AAABC02030,173511,106363,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Bird-voiced Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBWRWx,Black Warrior River Waterdog,Necturus alabamensis,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Warrior River Waterdog (Necturus alabamensis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Necturus alabamensis, Black Warrior River Waterdog",,AAAAE01010,173628,100237,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Black Warrior River Waterdog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCANEx,Cane Toad,Rhinella marinus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Cane Toad (Rhinella marinus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Rhinella marinus, Cane Toad",Ken Boykin,AAABB01100,776032,103751,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Cane Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCASAx,Calfifornia Giant Salamander,Dicamptodon ensatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Calfifornia Giant Salamander (Dicamptodon ensatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Dicamptodon ensatus, Calfifornia Giant Salamander",Ken Boykin,AAAAH01020,173743,105355,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Calfifornia Giant Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCATOx,Canadian Toad,Anaxyrus hemiophrys,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Canadian Toad (Anaxyrus hemiophrys) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus hemiophrys, Canadian Toad",Ken Boykin,AAABB01080,773521,104328,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Canadian Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCATRx,California Treefrog,Pseudacris cadaverina,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, California Treefrog (Pseudacris cadaverina) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudacris cadaverina, California Treefrog",Ken Boykin,AAABC05080,550237,104128,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for California Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCBSAx,Comal Blind Salamander,Eurycea tridentifera,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Comal Blind Salamander (Eurycea tridentifera) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea tridentifera, Comal Blind Salamander",Ken Boykin,AAAAD05100,173696,105210,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Comal Blind Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCCFRx,Cliff Chirping Frog,Eleutherodactylus marnockii,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Cliff Chirping Frog (Eleutherodactylus marnockii) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eleutherodactylus marnockii, Cliff Chirping Frog",Ken Boykin,AAABD04230,550240,100042,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Cliff Chirping Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aCCSAx,Cascade Caverns Salamander,Eurycea latitans,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Cascade Caverns Salamander (Eurycea latitans) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea latitans, Cascade Caverns Salamander",Ken Boykin,AAAAD05030,208320,106058,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Cascade Caverns Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
