"doi","title","pubdate","publisher","url","resourcetype","date","datetype","abstractdesc","abstractdesctype","subject","username","created","modified","status","datasource","datacite_creation_date","link_checking_status"
"doi:10.5066/F798864G","Sorex neomexicanus (New Mexico Shrew) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e223e4b063d5d307dcd9","Dataset",,,"This dataset represents a species known range extent for Sorex neomexicanus (New Mexico Shrew). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:05:30.976","2017-11-01 09:05:30.976","reserved",,,
"doi:10.5066/F7F18XVD","Glaucomys sabrinus coloratus (Carolina Northern Flying Squirrel) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5eba2e4b063d5d307e02d","Dataset",,,"This dataset represents a species known range extent for Glaucomys sabrinus coloratus (Carolina Northern Flying Squirrel). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:05:16.298","2017-11-01 09:05:16.298","reserved",,,
"doi:10.5066/F7JS9PKT","Hemidactylus mabouia (Wood Slave) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e1c2e4b063d5d307dac3","Dataset",,,"This dataset represents a species known range extent for Hemidactylus mabouia (Wood Slave). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:05:01.401","2017-11-01 09:05:01.401","reserved",,,
"doi:10.5066/F7PK0F93","Coluber schotti (Schott's Whipsnake) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e1f5e4b063d5d307dbcf","Dataset",,,"This dataset represents a species known range extent for Coluber schotti (Schott's Whipsnake). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:04:46.149","2017-11-01 09:04:46.149","reserved",,,
"doi:10.5066/F7TB1628","Sceloporus jarrovii (Yarrow's Spiny Lizard) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec26e4b063d5d307e491","Dataset",,,"This dataset represents a species known range extent for Sceloporus jarrovii (Yarrow's Spiny Lizard). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:04:27.233","2017-11-01 09:04:27.233","reserved",,,
"doi:10.5066/F7Z31XS6","Plestiodon septentrionalis (Prairie Skink) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec77e4b063d5d307e761","Dataset",,,"This dataset represents a species known range extent for Plestiodon septentrionalis (Prairie Skink). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:04:12.504","2017-11-01 09:04:12.504","reserved",,,
"doi:10.5066/F72R3QSZ","Heterodon nasicus (Plains Hog-nosed Snake) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec49e4b063d5d307e5c1","Dataset",,,"This dataset represents a species known range extent for Heterodon nasicus (Plains Hog-nosed Snake). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:03:57.929","2017-11-01 09:03:57.929","reserved",,,
"doi:10.5066/F76H4GHP","Lampropeltis pyromelana (Sonoran Mountain Kingsnake) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebe0e4b063d5d307e219","Dataset",,,"This dataset represents a species known range extent for Lampropeltis pyromelana (Sonoran Mountain Kingsnake). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:03:43.55","2017-11-01 09:03:43.55","reserved",,,
"doi:10.5066/F7B8577D","Tantilla nigriceps (Plains Black-headed Snake) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebc9e4b063d5d307e16f","Dataset",,,"This dataset represents a species known range extent for Tantilla nigriceps (Plains Black-headed Snake). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:03:28.58","2017-11-01 09:03:28.58","reserved",,,
"doi:10.5066/F7G15ZZB","Elgaria panamintina (Panamint Alligator Lizard) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec26e4b063d5d307e493","Dataset",,,"This dataset represents a species known range extent for Elgaria panamintina (Panamint Alligator Lizard). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:03:14.039","2017-11-01 09:03:14.039","reserved",,,
"doi:10.5066/F7KS6QPR","Thamnophis hammondii (Two-striped Gartersnake) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e241e4b063d5d307dd89","Dataset",,,"This dataset represents a species known range extent for Thamnophis hammondii (Two-striped Gartersnake). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:02:59.932","2017-11-01 09:02:59.932","reserved",,,
"doi:10.5066/F7QJ7GFX","Tyrannus forficatus (Scissor-tailed Flycatcher) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e22ee4b063d5d307dd1b","Dataset",,,"This dataset represents a species known range extent for Tyrannus forficatus (Scissor-tailed Flycatcher). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:02:45.769","2017-11-01 09:02:45.769","reserved",,,
"doi:10.5066/F7V98763","Chen rossii (Ross's Goose) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e236e4b063d5d307dd47","Dataset",,,"This dataset represents a species known range extent for Chen rossii (Ross's Goose). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:02:31.379","2017-11-01 09:02:31.379","reserved",,,
"doi:10.5066/F7000175","Buteo lagopus (Rough-legged Hawk) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec58e4b063d5d307e649","Dataset",,,"This dataset represents a species known range extent for Buteo lagopus (Rough-legged Hawk). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:02:17.322","2017-11-01 09:02:17.322","reserved",,,
"doi:10.5066/F73R0S0N","Amazona viridigenalis (Red-crowned Parrot) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebeae4b063d5d307e275","Dataset",,,"This dataset represents a species known range extent for Amazona viridigenalis (Red-crowned Parrot). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:01:58.19","2017-11-01 09:01:58.19","reserved",,,
"doi:10.5066/F77H1HQZ","Sitta canadensis (Red-breasted Nuthatch) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec3be4b063d5d307e539","Dataset",,,"This dataset represents a species known range extent for Sitta canadensis (Red-breasted Nuthatch). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:01:34.282","2017-11-01 09:01:34.282","reserved",,,
"doi:10.5066/F7C828FP","Mergus serrator (Red-breasted Merganser) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebe7e4b063d5d307e25d","Dataset",,,"This dataset represents a species known range extent for Mergus serrator (Red-breasted Merganser). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:01:13.01","2017-11-01 09:01:13.01","reserved",,,
"doi:10.5066/F7H1315D","Eurycea neotenes (Texas Salamander) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec1ae4b063d5d307e42b","Dataset",,,"This dataset represents a species known range extent for Eurycea neotenes (Texas Salamander). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:00:57.397","2017-11-01 09:00:57.397","reserved",,,
"doi:10.5066/F7MS3RXG","Plethodon welleri (Weller's Salamander) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec5be4b063d5d307e669","Dataset",,,"This dataset represents a species known range extent for Plethodon welleri (Weller's Salamander). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:00:42.746","2017-11-01 09:00:42.746","reserved",,,
"doi:10.5066/F7RJ4HMR","Eurycea rathbuni (Texas Blind Salamander) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebb5e4b063d5d307e0dd","Dataset",,,"This dataset represents a species known range extent for Eurycea rathbuni (Texas Blind Salamander). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:00:28.902","2017-11-01 09:00:28.902","reserved",,,
"doi:10.5066/F7W66JXR","Plethodon shermani (Red-legged Salamander) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e28de4b063d5d307df47","Dataset",,,"This dataset represents a species known range extent for Plethodon shermani (Red-legged Salamander). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:00:14.649","2017-11-01 09:00:14.649","reserved",,,
"doi:10.5066/F70Z72D4","Tyrannus crassirostris (Thick-billed Kingbird) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebaee4b063d5d307e09b","Dataset",,,"This dataset represents a species known range extent for Tyrannus crassirostris (Thick-billed Kingbird). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:59:57.85","2017-11-01 08:59:57.85","reserved",,,
"doi:10.5066/F74Q7T4G","Neotoma magister (Allegheny Woodrat) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5eba9e4b063d5d307e06f","Dataset",,,"This dataset represents a species known range extent for Neotoma magister (Allegheny Woodrat). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:59:43.556","2017-11-01 08:59:43.556","reserved",,,
"doi:10.5066/F78G8JVS","Sciurus arizonensis (Arizona Gray Squirrel) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebf4e4b063d5d307e2dd","Dataset",,,"This dataset represents a species known range extent for Sciurus arizonensis (Arizona Gray Squirrel). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:59:30.214","2017-11-01 08:59:30.214","reserved",,,
"doi:10.5066/F7D799KH","Sitta carolinensis (White-breasted Nuthatch) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebbee4b063d5d307e12b","Dataset",,,"This dataset represents a species known range extent for Sitta carolinensis (White-breasted Nuthatch). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:59:16.483","2017-11-01 08:59:16.483","reserved",,,
"doi:10.5066/F7J102B7","Vireo gilvus (Warbling Vireo) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec74e4b063d5d307e73d","Dataset",,,"This dataset represents a species known range extent for Vireo gilvus (Warbling Vireo). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:59:03.281","2017-11-01 08:59:03.281","reserved",,,
"doi:10.5066/F7NS0T1T","Auriparus flaviceps (Verdin) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e262e4b063d5d307de57","Dataset",,,"This dataset represents a species known range extent for Auriparus flaviceps (Verdin). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:58:49.796","2017-11-01 08:58:49.796","reserved",,,
"doi:10.5066/F7SF2V9C","Piranga ludoviciana (Western Tanager) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebbee4b063d5d307e127","Dataset",,,"This dataset represents a species known range extent for Piranga ludoviciana (Western Tanager). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:58:36.216","2017-11-01 08:58:36.216","reserved",,,
"doi:10.5066/F7X63M2J","Megascops kennicottii (Western Screech-owl) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e222e4b063d5d307dcd3","Dataset",,,"This dataset represents a species known range extent for Megascops kennicottii (Western Screech-owl). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:58:23.141","2017-11-01 08:58:23.141","reserved",,,
"doi:10.5066/F71Z43JH","Aphelocoma californica (Western Scrub-jay) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec22e4b063d5d307e473","Dataset",,,"This dataset represents a species known range extent for Aphelocoma californica (Western Scrub-jay). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:58:10.429","2017-11-01 08:58:10.429","reserved",,,
"doi:10.5066/F75Q4V7D","Falco rusticolus (Gyrfalcon) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec39e4b063d5d307e525","Dataset",,,"This dataset represents a species known range extent for Falco rusticolus (Gyrfalcon). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:57:56.743","2017-11-01 08:57:56.743","reserved",,,
"doi:10.5066/F79G5KZQ","Cyanocitta cristata (Blue Jay) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebe7e4b063d5d307e265","Dataset",,,"This dataset represents a species known range extent for Cyanocitta cristata (Blue Jay). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:57:43.374","2017-11-01 08:57:43.374","reserved",,,
"doi:10.5066/F7F76BPF","Certhia americana (Brown Creeper) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebeee4b063d5d307e2a1","Dataset",,,"This dataset represents a species known range extent for Certhia americana (Brown Creeper). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:57:30.56","2017-11-01 08:57:30.56","reserved",,,
"doi:10.5066/F7K073CQ","Branta hutchinsii (Cackling Goose) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e211e4b063d5d307dc6f","Dataset",,,"This dataset represents a species known range extent for Branta hutchinsii (Cackling Goose). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:57:17.751","2017-11-01 08:57:17.751","reserved",,,
"doi:10.5066/F7PN94SR","Baeolophus wollweberi (Bridled Titmouse) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec2de4b063d5d307e4c9","Dataset",,,"This dataset represents a species known range extent for Baeolophus wollweberi (Bridled Titmouse). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:57:05.113","2017-11-01 08:57:05.113","reserved",,,
"doi:10.5066/F7TD9WGN","Poecile atricapilla (Black-capped Chickadee) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec54e4b063d5d307e62d","Dataset",,,"This dataset represents a species known range extent for Poecile atricapilla (Black-capped Chickadee). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:56:51.584","2017-11-01 08:56:51.584","reserved",,,
"doi:10.5066/F7Z60N6X","Athene cunicularia floridana (Florida Burrowing Owl) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e229e4b063d5d307dcf9","Dataset",,,"This dataset represents a species known range extent for Athene cunicularia floridana (Florida Burrowing Owl). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:56:38.537","2017-11-01 08:56:38.537","reserved",,,
"doi:10.5066/F72Z14PW","Arenaria melanocephala (Black Turnstone) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec51e4b063d5d307e613","Dataset",,,"This dataset represents a species known range extent for Arenaria melanocephala (Black Turnstone). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:56:25.437","2017-11-01 08:56:25.437","reserved",,,
"doi:10.5066/F76Q1WD7","Cypseloides niger (Black Swift) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e270e4b063d5d307de9d","Dataset",,,"This dataset represents a species known range extent for Cypseloides niger (Black Swift). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:56:12.815","2017-11-01 08:56:12.815","reserved",,,
"doi:10.5066/F7BG2N4Z","Molothrus ater (Brown-headed Cowbird) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebe2e4b063d5d307e22b","Dataset",,,"This dataset represents a species known range extent for Molothrus ater (Brown-headed Cowbird). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:55:54.384","2017-11-01 08:55:54.384","reserved",,,
"doi:10.5066/F7G73CTT","Caprimulgus ridgwayi (Buff-collared Nightjar) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e290e4b063d5d307df57","Dataset",,,"This dataset represents a species known range extent for Caprimulgus ridgwayi (Buff-collared Nightjar). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:55:40.949","2017-11-01 08:55:40.949","reserved",,,
"doi:10.5066/F7KW5F6T","Rallus elegans (King Rail) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e20ce4b063d5d307dc4f","Dataset",,,"This dataset represents a species known range extent for Rallus elegans (King Rail). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:55:28.682","2017-11-01 08:55:28.682","reserved",,,
"doi:10.5066/F7QN65WP","Limosa fedoa (Marbled Godwit) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebb0e4b063d5d307e0a9","Dataset",,,"This dataset represents a species known range extent for Limosa fedoa (Marbled Godwit). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:55:15.908","2017-11-01 08:55:15.908","reserved",,,
"doi:10.5066/F7VD6XKK","Butorides virescens (Green Heron) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec20e4b063d5d307e45f","Dataset",,,"This dataset represents a species known range extent for Butorides virescens (Green Heron). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:55:03.186","2017-11-01 08:55:03.186","reserved",,,
"doi:10.5066/F7057F28","Ammodramus henslowii (Henslow's Sparrow) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e1a3e4b063d5d307da37","Dataset",,,"This dataset represents a species known range extent for Ammodramus henslowii (Henslow's Sparrow). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:54:49.709","2017-11-01 08:54:49.709","reserved",,,
"doi:10.5066/F73X85S8","Ammodramus savannarum (Grasshopper Sparrow) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e250e4b063d5d307dde7","Dataset",,,"This dataset represents a species known range extent for Ammodramus savannarum (Grasshopper Sparrow). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:54:36.456","2017-11-01 08:54:36.456","reserved",,,
"doi:10.5066/F77P8XHM","Buteogallus anthracinus (Common Black-hawk) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec41e4b063d5d307e575","Dataset",,,"This dataset represents a species known range extent for Buteogallus anthracinus (Common Black-hawk). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:54:24.02","2017-11-01 08:54:24.02","reserved",,,
"doi:10.5066/F7CC0ZT5","Melanerpes lewis (Lewis's Woodpecker) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e1e9e4b063d5d307db8b","Dataset",,,"This dataset represents a species known range extent for Melanerpes lewis (Lewis's Woodpecker). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:54:11.733","2017-11-01 08:54:11.733","reserved",,,
"doi:10.5066/F7H41QJW","Sternula antillarum (Least Tern) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec5be4b063d5d307e66b","Dataset",,,"This dataset represents a species known range extent for Sternula antillarum (Least Tern). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 08:53:57.937","2017-11-01 08:53:57.937","reserved",,,
